A photo of a dark gray turtleneck sweater with long sleeves, in a white background
A real photo of a heather gray turtleneck with a v-neckline, in a white background
An image of a burnt orange turtleneck with a relaxed drape, in a white background
A photography of a navy and white striped turtleneck, in a white background
An illustration of a metallic silver turtleneck with a shimmering finish, in a white background
A photo of a black turtleneck sweater with long sleeves, in a white background
An image of a real photo of a white turtleneck shirt with a foldable collar, in a white background
A photography of a gray turtleneck dress with a slim fit, in a white background
An illustration of a navy blue turtleneck pullover with a cable knit pattern, in a white background
A photo of a red turtleneck sweater made of soft cashmere fabric, in a white background
An image of a real photo of a brown turtleneck top with a ribbed texture, in a white background
A photography of a cream-colored turtleneck jumper with a loose fit, in a white background
An illustration of a maroon turtleneck blouse with a button-down front, in a white background
