A real photo of a red fire hose, in a white background
A real photo of a fire hose capable of withstanding extreme temperatures, in a white background
An illustration of a fire hose with a quick-release coupling mechanism, in a white background
A photography of a fire hose with a large water capacity, in a white background
An image of a fire hose with a bright yellow color for easy visibility, in a white background
A photo of a red fire hose with a diameter of 2 inches, in a white background
An image of a real photo of a yellow fire hose with a length of 50 feet, in a white background
A photography of a blue fire hose with a pressure rating of 250 psi, in a white background
An illustration of a green fire hose with a nozzle size of 1 inch, in a white background
A photo of a black fire hose with a weight of 10 pounds, in a white background
An image of a real photo of a white fire hose with a burst pressure of 500 psi, in a white background
A photography of a gray fire hose with a length of 100 feet, in a white background
An illustration of a orange fire hose with a diameter of 1, in a white background
